Model,Configuration,Final_responses
gemini-1.5-pro,case8-github.yaml,"[""<START>\n\n**[Resource Type Errors]**\n\n* There are no Resource Type Errors.\n\n**[Configuration Entry Errors]**\n\n* **Properties.Events.TopicEvent.RedrivePolicy:**  The `RedrivePolicy` configuration doesn't exist within `TopicEvent`. It should be configured directly under the SQS queue resource.\n* **Properties.Events.TopicEvent.SqsSubscription:** The correct property name is `Subscription`, not `SqsSubscription`.\n\n**[Configuration Entry Value Errors]**\n\n* **Properties.Events.TopicEvent.Type:** The value should be `SNS`, not `sns`.\n\n**[Entry Dependency Errors]**\n\n* **Properties.Events.TopicEvent.RedrivePolicy.deadLetterTargetArn:** The resource `QueueSNSDlq` is referenced but not defined in the template.\n\n**[Value Dependency Errors]**\n\n* There are no Value Dependency Errors.\n\n<END>""]"
gemini-1.5-pro,case1-github.yaml,"['<START>\n\n## Resource Type Errors\n- None\n\n## Configuration Entry Errors\n- **Globals.Function.DeploymentPreference**: `Type` is a valid property for `DeploymentPreference`, but `AllAtOnce` is not a valid value. Valid values are `Linear` and `Canary`.\n- **Resources.DDBTable.Properties**: `Tags` should be a list of objects with `Key` and `Value` properties, not a list of dictionaries.\n- **Resources.MonolithicFunction.Events.ProxyApiGreedy**: `ANY` is not a valid value for `Method`. Valid values include specific HTTP methods like `GET`, `POST`, etc.\n\n## Configuration Entry Value Errors\n- None\n\n## Entry Dependency Errors\n- None\n\n## Value Dependency Errors\n- None\n\n<END>']"
gemini-1.5-pro,case10-github.yaml,"['<START>\n\n##  [Configuration Entry Value Errors]\n\n* **Resources.ApiGatewayApi.Properties.Cors**: The value of the `Cors` property should be a dictionary or an intrinsic function that returns a dictionary, not a string. For simple CORS configuration from a single origin, the dictionary structure should look like this:\n\n```yaml\nCors:\n  AllowMethods: ""\'GET,POST,OPTIONS\'""\n  AllowOrigin: ""\'https://www.example.com\'"" \n  AllowHeaders: ""\'Content-Type,X-Amz-Date,Authorization,X-Api-Key,X-Amz-Security-Token\'""\n```\n\n## [Entry Dependency Errors]\n\n* **Resources.LambdaFunction.Properties.Events.ProxyApiRoot.Properties.RestApiId**: While using `!Ref ApiGatewayApi` is correct for referencing the API Gateway, the `ProxyApiRoot` event type is not the appropriate choice here. The provided OpenAPI definition already defines the `/mypath` path and links it to the Lambda function. Using `ProxyApiRoot` would override this and route all paths to the function.  You should remove the entire `Events` block from the Lambda function since the API Gateway integration is already defined in the `DefinitionBody`.\n\n\n<END>']"
gemini-1.5-pro,case4-github.yaml,"['<START>\n\n## [Configuration Entry Errors]\n\n* **MyFunction/Events/MyEvent/Properties:** `RequestParameters` should be `RequestParameter` (missing last \'s\').\n\n## [Configuration Entry Value Errors]\n\n* **MyApi/Properties/Models/mybody/properties/myprop:** `type: string` is invalid. Model properties should define their API Gateway data type, like ""String"".  \n\n## [Entry Dependency Errors]\n\n* **MyFunction/Properties/Events/MyEvent/Properties/RequestModel/Model:** `mybody` should be `mybody+json` to indicate it\'s using the JSON schema format.\n\n<END>']"
gemini-1.5-pro,case7-github.yaml,['<START>\n\n##  [Configuration Entry Errors]\n\n* **Resources > HelloWorldFunction > Events > HelloWorld > Properties**: `URI`  is an invalid property for `SourceAccessConfigurations`. The correct property name is `Credentials`.\n\n## [Configuration Entry Value Errors]\n\n* **Resources > HelloWorldFunction > Events > HelloWorld > Properties > SourceAccessConfigurations**: The value of `Type` should be `BASIC_AUTH` (all uppercase) instead of `BASIC_AUTH`.\n\n<END>']
gemini-1.5-pro,case2-github.yaml,"[""<START>\n\n## Resource Type Errors\n- **EventBridgeConfiguration**: `EventBridgeConfiguration` is not a valid property under `AWS::S3::Bucket.NotificationConfiguration`. The correct property is `EventBridge`. \n\n## Configuration Entry Errors\n- **DDBPutItem**: The `DefinitionSubstitutions` property in `AWS::Serverless::StateMachine` expects valid State Machine Language parameters. `DDBPutItem` is not a standard parameter. It should be replaced with a meaningful name relevant to your state machine definition.\n- **DDBTable**: Similar to `DDBPutItem`, `DDBTable` is not a standard State Machine Language parameter and should be replaced.\n\n## Configuration Entry Value Errors\n- **Runtime**: The `StockSellerFunction` uses `nodejs16.x`, which might be outdated. Consider using `nodejs18.x` for consistency and potential performance improvements.\n\n## Entry Dependency Errors\n- **Policies**: The `LambdaInvokePolicy` and `DynamoDBWritePolicy` policies within the `StockTradingStateMachine` resource lack the `TableName` and `FunctionName` properties respectively. These properties are mandatory and should reference the correct resources:\n    -  For `LambdaInvokePolicy`, the `FunctionName` should reference the function's logical name (e.g., `!Ref StockCheckerFunction`).\n    -  For `DynamoDBWritePolicy`, the `TableName` should reference the table's logical name (e.g., `!Ref TransactionTable`).\n\n## Value Dependency Errors\n- **EventBridge Integration**: While the `UploadBucket` has `EventBridgeEnabled` set to `true`, the state machine's `Events` section defines an `EventBridgeRule` that listens for S3 events. This configuration might lead to the state machine triggering twice for each S3 event: once via the bucket's direct integration and once via the explicit rule. Consider removing the `EventBridgeRule` from the state machine if you want to rely solely on the bucket's built-in EventBridge integration.\n\n<END>""]"
gemini-1.5-pro,case5-github.yaml,"['<START>\n\n**[Configuration Entry Errors]**\n\n* **Function Resource > Properties > Events > SummarizeAI/SummarizeArticle/SummarizeTextRank/SummarizeParagraphs > Properties > Path:** The `/` prefix in the path is redundant and should be removed. For example, `Path: summarize_t5` instead of `Path: /summarize_t5`.\n\n**[Configuration Entry Value Errors]**\n\n* **Outputs > SummarizeAIApi/SummarizeArticleApi/SummarizeTextRankApi/SummarizeParagraphsApi > Description:** The description for these outputs incorrectly states ""Hello World function"". It should reflect the respective function names, e.g., ""API Gateway endpoint URL for Prod stage for SummarizeAI function"".\n\n<END>']"
gemini-1.5-pro,case9-github.yaml,"[""<START>\n\n##  [Configuration Entry Errors]\n\n* **Resources > RestApi > Properties > CacheClusterSize**: The `CacheClusterSize` property is only valid when `CacheClusterEnabled` is set to `true`.\n\n## [Configuration Entry Value Errors]\n\n* **Resources > RestApi > Properties > x-amazon-apigateway-binary-media-types**:  While `*/*` will technically work, it's overly broad and can lead to unexpected behavior. It's best to be specific about the binary media types you want to handle. \n\n## [Value Dependency Errors]\n\n* **Resources > RestApi > Properties > Auth > ApiKeyRequired**: Setting `ApiKeyRequired` to `true` without configuring an authorizer will make all API endpoints inaccessible. You need to either disable `ApiKeyRequired` or set up a proper authorizer (e.g., using AWS Lambda) to validate API keys.\n\n<END>""]"
gemini-1.5-pro,case3-github.yaml,"['<START>\n\n**[Resource Type Errors]**\n\n1.  **Policies**: The resource type ""Policies"" is not a supported resource type in AWS SAM. It seems like you\'re trying to define an IAM policy. You should attach IAM policies to your function using the `Policies` property within the `AWS::Serverless::Function` resource.\n\n**[Configuration Entry Errors]**\n\n1.  **SSMParameterWithSlashPrefixReadPolicy**: This is not a standard policy name. You should use a managed policy like `AmazonSSMReadOnlyAccess` or define a custom policy document. \n\n**[Configuration Entry Value Errors]**\n\n1.  **CodeUri**: The value of `CodeUri` should point to a folder containing your function code, not just the folder name. It likely needs to be `hello_world/app.py` or similar, depending on your project structure.\n\n**[Entry Dependency Errors]**\n\n1.  **Policies**: The `Policies` property should be nested directly within the `HelloWorldFunction` resource, not as a separate top-level element.\n\n**[Value Dependency Errors]**\n\n1.  **None**: There are no clear value dependency errors based on the provided configuration.\n\n<END>']"
gemini-1.5-pro,case6-github.yaml,"[""<START>\n\n**[Configuration Entry Errors]**\n\n* **Missing `BatchSize` Property:**  Under the `SQSEvent` configuration, you're using `ReportBatchItemFailures`. This requires the `BatchSize` property to be set within the `Properties` of the `SQSEvent`. \n\n**[Configuration Entry Value Errors]**\n\n* **FunctionResponseTypes:** The value `ReportBatchItemFailures` under `FunctionResponseTypes`  should be `ReportBatchItemFailuresOnly`.\n\n<END>""]"
