Model,Configuration,Final_responses
gpt-4o,case1-github.yaml,"['<START>\n1. The `AllowMethods`, `AllowHeaders`, and `AllowOrigin` values in the `Cors` configuration under `Globals` should not be enclosed in single quotes. They should be specified as lists without quotes. For example:\n   ```yaml\n   AllowMethods: \n     - DELETE\n     - GET\n     - HEAD\n     - OPTIONS\n     - PATCH\n     - POST\n     - PUT\n   AllowHeaders: \n     - Content-Type\n     - X-Amz-Date\n     - Authorization\n     - X-Api-Key\n     - X-Amz-Security-Token\n   AllowOrigin: ""*""\n   ```\n\n2. The `Resource` in the `Policies` section of `MonolithicFunction` should include the table\'s index resources if you intend to perform actions on them. The current configuration only allows actions on the table itself, not on its indexes. You should add the index ARNs if needed, like:\n   ```yaml\n   Resource: \n     - !Sub ""arn:aws:dynamodb:*:*:table/${DDBTableName}""\n     - !Sub ""arn:aws:dynamodb:*:*:table/${DDBTableName}/index/*""\n   ```\n\n3. The `Outputs` section references `${APIG}` which should be `${APIG.Ref}` to correctly reference the logical ID of the API Gateway resource.\n<END>']"
gpt-4o,case4-github.yaml,"['<START>\n1. The `AlwaysDeploy` property under `AWS::Serverless::Api` is not a valid property. The correct property to ensure deployment is `DefinitionBody` or `DefinitionUri` for OpenAPI definitions.\n2. The `RequestParameters` under `AWS::Serverless::Function` event source mapping should be a map, not a list. The correct format should be:\n   ```yaml\n   RequestParameters:\n     method.request.querystring.myquerystring: true\n     method.request.header.myheader: true\n   ```\n3. The `RequestModel` property should be a map, not a single object. The correct format should be:\n   ```yaml\n   RequestModels:\n     ""application/json"": \n       Model: mybody\n       ValidateBody: false\n       ValidateParameters: true\n   ```\n4. The `Outputs` section is missing the `Description` property, which is recommended for clarity, though not strictly an error.\n<END>']"
gpt-4o,case2-github.yaml,"[""<START>\n1. The `StockTradingStateMachineRole` output references `StockTradingStateMachineRole.Arn`, but there is no resource named `StockTradingStateMachineRole` defined in the template. The correct reference should be to the role associated with the `StockTradingStateMachine`, which is implicitly created and can be accessed using `!GetAtt StockTradingStateMachine.RoleArn`.\n\n2. The `StockSellerFunction` is using `nodejs16.x` as the runtime, which is not consistent with the other functions using `nodejs18.x`. While this is not a configuration error per se, it might be an oversight if the intention was to use the same runtime version across all functions.\n\n3. The `DDBPutItem` substitution in the `StockTradingStateMachine` resource is using an incorrect syntax for the `arn` substitution. The correct syntax should be `!Sub 'arn:${AWS::Partition}:states:::dynamodb:putItem'`.\n\n4. The `UploadBucket` resource's `BucketName` property is using `!Ref BucketName`, which requires the `BucketName` parameter to be provided during stack creation. If the parameter is not provided, it will result in a stack creation error. Ensure that the parameter is correctly provided or consider using a default value.\n\n5. The `NotificationConfiguration` for the `UploadBucket` is set to use `EventBridgeConfiguration` with `EventBridgeEnabled: true`, but there is no explicit permission or rule defined to handle these events in the `StockTradingStateMachine`. Ensure that the EventBridge rule is correctly configured to trigger the state machine.\n\n6. The `StockTradingStateMachine` resource's `Events` property is using `EventBridgeRule` as the type, which is not a valid event source type for a state machine. The correct type should be `S3` for S3 bucket events.\n<END>""]"
gpt-4o,case5-github.yaml,"['<START>\n1. The `HelloWorldFunctionIamRole` output references `HelloWorldFunctionRole.Arn`, but there is no resource or logical ID named `HelloWorldFunctionRole` defined in the template. This will result in an error because the template is trying to output a value from a non-existent resource.\n\n2. The `Outputs` section contains a key named `HelloWorldFunction`, which is the same as the logical ID of the function resource. While this is not a direct error, it is generally recommended to use distinct names to avoid confusion.\n\n3. The `Outputs` section descriptions for `SummarizeAIApi`, `SummarizeArticleApi`, `SummarizeTextRankApi`, and `SummarizeParagraphsApi` all mention ""Hello World function,"" which might be misleading if these endpoints are not specifically related to a ""Hello World"" function. This is more of a documentation issue rather than a configuration error.\n<END>']"
gpt-4o,case3-github.yaml,"[""<START>\n1. The `SSMParameterWithSlashPrefixReadPolicy` is not a valid policy name. Instead, you should use a managed policy ARN or a custom policy definition. For example, you can use `AWS::IAM::Policy` to define a custom policy or use a managed policy like `arn:aws:iam::aws:policy/AmazonSSMReadOnlyAccess`.\n\n2. The `AWS::ServerlessRepo::Application` metadata section is not necessary for a basic AWS SAM template. It is typically used when publishing applications to the AWS Serverless Application Repository. If this is not your intention, you can remove this section.\n\n3. The `ReadmeUrl` in the `Metadata` section should be a valid URL if you intend to use it. If `README.md` is a local file, it should not be referenced as a URL.\n\n4. The `SemanticVersion` in the `Metadata` section should follow semantic versioning conventions, which it does, but ensure it aligns with your versioning strategy if you plan to publish this application.\n\n5. The `Architectures` property is correctly specified as `x86_64`, but ensure that your Lambda function's dependencies and code are compatible with this architecture.\n<END>""]"
gpt-4o,case8-github.yaml,"['<START>\n1. The `RedrivePolicy` under the `TopicEvent` in the `MyFunction` resource is incorrectly configured. The `RedrivePolicy` should not be specified under the `SNS` event source for a Lambda function. Instead, the `RedrivePolicy` is typically used for SQS queues to specify a dead-letter queue.\n\n2. The `QueueUrl` property under `SqsSubscription` is not a valid property for the `SNS` event source in a Lambda function. The `SqsSubscription` should only specify the `QueueArn`.\n\n3. The `RedrivePolicy` under `MyFunctionTopicEventQueue` is correctly configured, but the `RedrivePolicy` under `MyFunction` is not applicable and should be removed.\n\n4. The `QueueSNSDlq` resource is referenced in the `RedrivePolicy` of `MyFunction`, but it is not defined in the template. This will cause a reference error.\n<END>']"
gpt-4o,case10-github.yaml,"['<START>\n1. The `Cors` property under `ApiGatewayApi` is incorrectly formatted. It should be an object specifying the allowed origins, methods, headers, etc., rather than a string. For example:\n   ```yaml\n   Cors:\n     AllowOrigin: ""\'www.example.com\'""\n   ```\n\n2. The `httpMethod` under `x-amazon-apigateway-integration` should match the method defined in the `paths` section. Since the method in `paths` is `get`, the `httpMethod` should be `GET` instead of `ANY`.\n\n3. The `Method` under `ProxyApiRoot` event should match the method defined in the `paths` section. Since the method in `paths` is `get`, the `Method` should be `GET` instead of `ANY`.\n<END>']"
gpt-4o,case7-github.yaml,"[""<START>\n1. The `Users` property in the `HelloWorldBroker` resource is incorrectly using the `!Sub` function with `{{resolve:secretsmanager:...}}`. The `!Sub` function is not needed here. Instead, use the `!Join` function or directly reference the secret value using `{{resolve:secretsmanager:...}}` without `!Sub`.\n\n2. The `SourceAccessConfigurations` property in the `HelloWorldFunction` resource is incorrectly using `URI: !Ref HelloWorldSecret`. The `URI` should be the secret ARN, not a reference to the secret itself. Use `!GetAtt HelloWorldSecret.Arn` instead.\n\n3. The `HelloWorldSecret` output is using the same name as the `HelloWorldSecret` resource, which can cause confusion. It's better to use a different name for the output to avoid ambiguity.\n<END>""]"
gpt-4o,case9-github.yaml,"[""<START>\n1. The `CacheClusterEnabled` and `CacheClusterSize` properties are specified for the `AWS::Serverless::Api` resource, but these properties are not valid for this resource type. They are typically used with `AWS::ApiGateway::Stage`.\n\n2. The `schemes` property is used in OpenAPI 2.0 (Swagger) but not in OpenAPI 3.0. In OpenAPI 3.0, the equivalent is `servers`.\n\n3. The `x-amazon-apigateway-integration` object is missing the `responses` key, which should define the integration responses.\n\n4. The `ApiStages` property in `AWS::ApiGateway::UsagePlan` should use `ApiId` and `Stage` as a map, not as a list of maps. It should be:\n   ```yaml\n   ApiStages:\n     - ApiId: !Ref RestApi\n       Stage: !Ref RestApi.Stage\n   ```\n\n5. The `x-amazon-apigateway-api-key-source` should be placed under the `x-amazon-apigateway-integration` object, not directly under `DefinitionBody`.\n\n6. The `x-amazon-apigateway-binary-media-types` should be placed under the `x-amazon-apigateway-integration` object, not directly under `DefinitionBody`.\n\n7. The `ApiKey` and `ApiKeyUsagePlan` resources are not directly linked to the `AWS::Serverless::Api` resource. The `AWS::Serverless::Api` resource should have an `ApiKeySourceType` property set to `HEADER` or `AUTHORIZER` to use API keys.\n\n8. The `AWS::Serverless::Function` resource's `Events` property is redundant because the API Gateway is already defined separately. The `Events` property should be removed or the `AWS::Serverless::Api` should be removed if the inline API definition is preferred.\n<END>""]"
gpt-4o,case6-github.yaml,"['<START>\n1. The `AWS::Serverless::Function` resource is using the `InlineCode` property, which is not supported in the `AWS::Serverless-2016-10-31` transform. The correct property to use for inline code is `CodeUri` with a reference to a local file or an S3 location.\n\n2. The `Handler` property is set to `index.handler`, but since the code is provided inline, there is no `index` file. The handler should match the function name in the inline code, which is `handler`.\n\n3. The `FunctionResponseTypes` property is used incorrectly. It should be placed under the `SQSEvent` configuration, but it is not a valid property for SQS event sources in AWS SAM. This property is used for asynchronous invocations, not for SQS events.\n\n4. The `Queue` property under `SQSEvent` should use `!Ref MyQueue` instead of `!GetAtt MyQueue.Arn` because the `Queue` property expects a reference to the queue name or URL, not the ARN.\n<END>']"
